Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/27/2019 11:17:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	91	Nothing	100	2539696	0	1			0		false_alarm	454
873	91	Response	2	2540973	1277	5
873	91	Port Input	1	2540973	1277	5
873	91	Response	2	2542138	2442	6
873	91	Port Input	1	2542138	2442	6
873	91	Response	2	2543348	3652	6
873	91	Port Input	1	2543348	3652	6
873	91	Response	2	2544737	5041	6
873	91	Port Input	1	2544737	5041	6
873	91	Response	2	2546242	6546	5
873	91	Port Input	1	2546242	6546	5
873	91	Response	2	2547776	8080	6
873	91	Port Input	1	2547776	8080	6
873	91	Response	2	2550661	10965	6
873	91	Port Input	1	2550661	10965	6
873	91	Response	2	2552342	12646	6
873	91	Port Input	1	2552342	12646	6
873	91	Response	2	2553541	13845	6
873	91	Port Input	1	2553541	13845	6
873	92	Nothing	19	2573199	0	1			0		other	0
873	93	Nothing	51	2583648	0	1			0		other	0
873	93	Response	3	2585070	1422	6
873	93	Port Input	4	2585070	1422	6
873	94	Nothing	101	2585104	0	1			0		false_alarm	477
873	94	Response	3	2586339	1235	6
873	94	Port Input	4	2586339	1235	6
873	94	Response	2	2589366	4262	5
873	94	Port Input	1	2589366	4262	5
873	94	Response	2	2590933	5829	6
873	94	Port Input	1	2590933	5829	6
873	94	Response	2	2592162	7058	5
873	94	Port Input	1	2592162	7058	5
873	94	Response	2	2593605	8501	6
873	94	Port Input	1	2593605	8501	6
873	95	Nothing	19	2618651	0	1			0		other	0
873	97	Nothing	52	2649551	0	1			0		other	0
873	97	Response	3	2651014	1463	7
873	97	Port Input	4	2651014	1463	7
873	98	Nothing	111	2651057	0	1			0		false_alarm	492
873	98	Response	3	2652339	1282	6
873	98	Port Input	4	2652339	1282	6
873	98	Response	3	2653654	2597	5
873	98	Port Input	4	2653654	2597	5
873	98	Response	3	2654821	3764	7
873	98	Port Input	4	2654821	3764	7
873	98	Response	3	2656114	5057	5
873	98	Port Input	4	2656114	5057	5
873	98	Response	3	2657606	6549	7
873	98	Port Input	4	2657606	6549	7
873	98	Response	3	2659008	7951	7
873	98	Port Input	4	2659008	7951	7
873	98	Response	3	2660471	9414	5
873	98	Port Input	4	2660471	9414	5
873	98	Response	3	2662086	11029	5
873	98	Port Input	4	2662086	11029	5
873	98	Response	3	2663179	12122	6
873	98	Port Input	4	2663179	12122	6
873	98	Response	3	2666088	15031	6
873	98	Port Input	4	2666088	15031	6
873	98	Response	3	2667514	16457	6
873	98	Port Input	4	2667514	16457	6
873	99	Nothing	19	2684512	0	1			0		other	0
873	100	Nothing	52	2695648	0	1			0		other	0
873	100	Response	3	2697059	1411	5
873	100	Port Input	4	2697059	1411	5
873	101	Nothing	111	2697098	0	1			0		false_alarm	519
873	101	Response	3	2698263	1165	6
873	101	Port Input	4	2698263	1165	6
873	101	Response	3	2699569	2471	6
873	101	Port Input	4	2699569	2471	6
873	101	Response	3	2700617	3519	6
873	101	Port Input	4	2700617	3519	6
873	101	Response	3	2701964	4866	5
873	101	Port Input	4	2701964	4866	5
873	101	Response	3	2701968	4870	6
873	101	Port Input	4	2701968	4870	6
873	101	Response	3	2703376	6278	6
873	101	Port Input	4	2703376	6278	6
873	101	Response	3	2705005	7907	7
873	101	Port Input	4	2705005	7907	7
873	101	Response	3	2706438	9340	6
873	101	Port Input	4	2706438	9340	6
873	101	Response	3	2707943	10845	6
873	101	Port Input	4	2707943	10845	6
873	101	Response	3	2709566	12468	6
873	101	Port Input	4	2709566	12468	6
873	101	Response	3	2711015	13917	6
873	101	Port Input	4	2711015	13917	6
873	101	Response	3	2712462	15364	5
873	101	Port Input	4	2712462	15364	5
873	102	Nothing	19	2730648	0	1			0		other	0
873	103	Nothing	52	2763559	0	1			0		other	0
873	103	Response	3	2764921	1362	6
873	103	Port Input	4	2764921	1362	6
873	104	Nothing	111	2764960	0	1			0		false_alarm	548
873	104	Response	3	2766421	1461	5
873	104	Port Input	4	2766421	1461	5
873	104	Response	3	2767736	2776	6
873	104	Port Input	4	2767736	2776	6
873	104	Response	3	2768866	3906	6
873	104	Port Input	4	2768866	3906	6
873	104	Response	3	2770207	5247	7
873	104	Port Input	4	2770207	5247	7
873	104	Response	3	2771441	6481	6
873	104	Port Input	4	2771441	6481	6
873	104	Response	3	2772930	7970	6
873	104	Port Input	4	2772930	7970	6
873	104	Response	3	2774383	9423	6
873	104	Port Input	4	2774383	9423	6
873	104	Response	3	2775538	10578	5
873	104	Port Input	4	2775538	10578	5
873	104	Response	3	2777102	12142	5
873	104	Port Input	4	2777102	12142	5
873	105	Nothing	19	2798486	0	1			0		other	0
873	106	Nothing	52	2813569	0	1			0		other	0
873	106	Response	2	2814961	1392	6
873	106	Port Input	1	2814961	1392	6
873	107	Nothing	110	2814993	0	1			0		false_alarm	571
873	107	Response	2	2816257	1264	6
873	107	Port Input	1	2816257	1264	6
873	108	Nothing	19	2848492	0	1			0		other	0
873	109	Nothing	52	2876193	0	1			0		other	0
873	109	Response	3	2877569	1376	5
873	109	Port Input	4	2877569	1376	5
873	110	Nothing	111	2877613	0	1			0		false_alarm	578
873	110	Response	3	2878905	1292	7
873	110	Port Input	4	2878905	1292	7
873	110	Response	3	2880219	2606	4
873	110	Port Input	4	2880219	2606	4
873	110	Response	3	2880222	2609	6
873	110	Port Input	4	2880222	2609	6
873	110	Response	3	2881264	3651	6
873	110	Port Input	4	2881264	3651	6
873	110	Response	3	2882598	4985	6
873	110	Port Input	4	2882598	4985	6
873	110	Response	3	2883910	6297	6
873	110	Port Input	4	2883910	6297	6
873	110	Response	3	2885279	7666	5
873	110	Port Input	4	2885279	7666	5
873	110	Response	3	2886783	9170	6
873	110	Port Input	4	2886783	9170	6
873	110	Response	3	2888326	10713	5
873	110	Port Input	4	2888326	10713	5
873	110	Response	3	2889870	12257	5
873	110	Port Input	4	2889870	12257	5
873	110	Response	3	2891488	13875	7
873	110	Port Input	4	2891488	13875	7
873	110	Response	3	2894339	16726	4
873	110	Port Input	4	2894339	16726	4
873	111	Nothing	19	2911190	0	1			0		other	0
873	113	Nothing	52	2945222	0	2			0		other	0
873	113	Response	2	2946539	1317	5
873	113	Port Input	1	2946539	1317	5
873	114	Nothing	110	2946570	0	1			0		false_alarm	607
873	114	Response	2	2947721	1151	5
873	114	Port Input	1	2947721	1151	5
873	115	Nothing	19	2980128	0	1			0		other	0
873	116	Nothing	51	3016156	0	1			0		other	0
873	116	Response	3	3017648	1492	6
873	116	Port Input	4	3017648	1492	6
873	117	Nothing	101	3017683	0	1			0		false_alarm	614
873	117	Response	3	3019980	2297	6
873	117	Port Input	4	3019980	2297	6
873	118	Nothing	19	3051260	0	1			0		other	0
873	119	Nothing	51	3065185	0	1			0		other	0
873	119	Response	2	3067233	2048	6
873	119	Port Input	1	3067233	2048	6
873	120	Nothing	100	3067270	0	1			0		false_alarm	621
873	120	Response	2	3068373	1103	6
873	120	Port Input	1	3068373	1103	6
873	120	Response	2	3070559	3289	6
873	120	Port Input	1	3070559	3289	6
873	120	Response	2	3071785	4515	6
873	120	Port Input	1	3071785	4515	6
873	120	Response	2	3073039	5769	4
873	120	Port Input	1	3073039	5769	4
873	120	Response	2	3074347	7077	6
873	120	Port Input	1	3074347	7077	6
873	120	Response	2	3076947	9677	6
873	120	Port Input	1	3076947	9677	6
873	120	Response	3	3078535	11265	4
873	120	Port Input	4	3078535	11265	4
873	120	Response	2	3079765	12495	6
873	120	Port Input	1	3079765	12495	6
873	120	Response	2	3081352	14082	6
873	120	Port Input	1	3081352	14082	6
873	120	Response	2	3082690	15420	6
873	120	Port Input	1	3082690	15420	6
873	121	Nothing	19	3100814	0	1			0		other	0
873	122	Nothing	51	3130527	0	1			0		other	0
873	122	Response	2	3133338	2811	6
873	122	Port Input	1	3133338	2811	6
873	123	Nothing	100	3133377	0	1			0		false_alarm	646
873	123	Response	2	3134517	1140	5
873	123	Port Input	1	3134517	1140	5
873	123	Response	2	3135769	2392	6
873	123	Port Input	1	3135769	2392	6
873	123	Response	2	3137102	3725	6
873	123	Port Input	1	3137102	3725	6
873	123	Response	2	3138496	5119	6
873	123	Port Input	1	3138496	5119	6
873	123	Response	2	3139947	6570	6
873	123	Port Input	1	3139947	6570	6
873	123	Response	2	3141528	8151	6
873	123	Port Input	1	3141528	8151	6
873	123	Response	2	3144358	10981	6
873	123	Port Input	1	3144358	10981	6
873	123	Response	2	3145870	12493	6
873	123	Port Input	1	3145870	12493	6
873	124	Nothing	19	3166929	0	1			0		other	0
873	125	Nothing	52	3206184	0	1			0		other	0
873	125	Response	2	3207495	1311	6
873	125	Port Input	1	3207495	1311	6
873	126	Nothing	110	3207526	0	1			0		false_alarm	667
873	126	Response	2	3208537	1011	10
